Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,38544,1420,31048,6076,24,3.68,80.55,4.57,38928341,990.0,42297,1106,2.61
Albania,10704,322,6284,4098,151,3.01,58.71,5.12,2877800,3720.0,24731,3701,14.97
Algeria,47216,1581,33379,12256,278,3.35,70.69,4.74,43851043,1077.0,62693,5896,9.4
Andorra,1301,53,938,310,40,4.07,72.1,5.65,77265,16838.0,5437,477,8.77
Angola,3092,126,1245,1721,59,4.08,40.27,10.12,32866268,94.0,12680,935,7.37
Antigua and Barbuda,95,3,91,1,0,3.16,95.79,3.3,97928,970.0,131,3,2.29
Argentina,512293,10658,382490,119145,12259,2.08,74.66,2.79,45195777,11335.0,1250499,67885,5.43
Armenia,45152,905,41023,3224,199,2.0,90.86,2.21,2963234,15237.0,107466,10420,9.7
Australia,26524,788,22863,2873,59,2.97,86.2,3.45,50919400,521.0,27669,89,0.32
Austria,30583,747,25764,4072,502,2.44,84.24,2.9,9006400,3396.0,158746,49867,31.41
Azerbaijan,37732,555,35119,2058,175,1.47,93.07,1.58,10139175,3721.0,66046,11037,16.71
Bahamas,2721,63,1183,1475,136,2.32,43.48,5.33,393248,6919.0,6964,292,4.19
Bahrain,57450,203,51819,5428,672,0.35,90.2,0.39,1701583,33763.0,83632,1250,1.49
Bangladesh,331078,4593,230804,95681,1827,1.39,69.71,1.99,164689383,2010.0,421921,12551,2.97
Barbados,180,7,156,17,0,3.89,86.67,4.49,287371,626.0,243,7,2.88
Belarus,73402,726,71999,677,194,0.99,98.09,1.01,9449321,7768.0,107262,8186,7.63
Belgium,89691,9917,18635,61139,550,11.06,20.78,53.22,23021022,3896.0,503182,34689,6.89
Belize,1365,18,326,1021,4,1.32,23.88,5.52,397621,3433.0,4230,653,15.44
Benin,2242,40,1793,409,29,1.78,79.97,2.23,12123198,185.0,2781,103,3.7
Bhutan,234,0,155,79,0,0.0,66.24,0.0,771612,303.0,364,13,3.57
Bolivia,123345,7146,77216,38983,1037,5.79,62.6,9.25,11673029,10567.0,142561,810,0.57
Bosnia and Herzegovina,22258,675,15208,6375,297,3.03,68.33,4.44,3280815,6784.0,63419,9270,14.62
Botswana,2126,9,493,1624,0,0.42,23.19,1.83,2351625,904.0,7835,1268,16.18
Brazil,4197889,128539,3611632,457718,35816,3.06,86.03,3.56,422706534,9931.0,5675032,201432,3.55
Brunei,145,3,139,3,0,2.07,95.86,2.16,437483,331.0,148,0,0.0
Bulgaria,17435,702,12474,4259,122,4.03,71.55,5.63,6948445,2509.0,78976,22794,28.86
Burkina Faso,1476,56,1118,302,10,3.79,75.75,5.01,20903278,71.0,2581,71,2.75
Burma,2009,14,553,1442,202,0.7,27.53,2.53,54409800,37.0,61975,8186,13.21
Burundi,466,1,374,91,0,0.21,80.26,0.27,11890781,39.0,614,16,2.61
Cabo Verde,4473,43,3915,515,73,0.96,87.53,1.1,555988,8045.0,9419,421,4.47
Cambodia,274,0,273,1,0,0.0,99.64,0.0,16718971,16.0,300,3,1.0
Cameroon,19848,415,18448,985,0,2.09,92.95,2.25,26545864,748.0,22421,271,1.21
Canada,136135,9204,119789,7142,378,6.76,87.99,7.68,75711404,1798.0,272034,33415,12.28
Central African Republic,4736,62,1825,2849,1,1.31,38.53,3.4,4829764,981.0,4880,20,0.41
Chad,1048,79,931,38,3,7.54,88.84,8.49,16425859,64.0,1551,52,3.35
Chile,427027,11702,399555,15770,1486,2.74,93.57,2.93,36692988,11638.0,522879,9725,1.86
China,90100,4733,84957,410,13,5.25,94.29,5.57,-2147483648,-42.0,91693,179,0.2
Colombia,686851,22053,552885,111913,7338,3.21,80.5,3.99,99141018,6928.0,1149064,56153,4.89
Comoros,456,7,415,34,0,1.54,91.01,1.69,869595,524.0,563,16,2.84
Congo (Brazzaville),4891,114,3887,890,0,2.33,79.47,2.93,89561403,55.0,5379,136,2.53
Congo (Kinshasa),10324,260,9523,541,32,2.52,92.24,2.73,5518087,1871.0,11608,231,1.99
Costa Rica,51224,543,19544,31137,1327,1.06,38.15,2.78,5094114,10056.0,117587,7005,5.96
Cote d'Ivoire,18815,119,17770,926,37,0.63,94.45,0.67,26378274,713.0,20835,153,0.73
Croatia,12626,206,9833,2587,341,1.63,77.88,2.09,4105268,3076.0,68776,16743,24.34
Cuba,4459,104,3727,628,82,2.33,83.58,2.79,11326616,394.0,7349,290,3.95
Cyprus,1514,22,1237,255,3,1.45,81.7,1.78,1207361,1254.0,6098,1187,19.47
Czechia,31036,444,20374,10218,1159,1.43,65.65,2.18,10708981,2898.0,417181,48342,11.59
Denmark,19036,628,16414,1994,252,3.3,86.23,3.83,5897840,3228.0,56406,7441,13.19
Diamond Princess,712,13,651,48,0,1.83,91.43,2.0,0,inf,712,0,0.0
Djibouti,5391,61,5327,3,3,1.13,98.81,1.15,988002,5456.0,5627,28,0.5
Dominica,22,0,18,4,0,0.0,81.82,0.0,71991,306.0,63,5,7.94
Dominican Republic,100937,1914,74305,24718,806,1.9,73.62,2.58,10847904,9305.0,130603,3600,2.76
Ecuador,112166,10701,91242,10223,1409,9.54,81.35,11.73,17643060,6358.0,175269,5407,3.08
Egypt,100403,5577,80689,14137,175,5.55,80.37,6.91,102334403,981.0,109422,1587,1.45
El Salvador,26602,770,16786,9046,91,2.89,63.1,4.59,6486201,4101.0,35145,1524,4.34
Equatorial Guinea,4990,83,4479,428,5,1.66,89.76,1.85,1402985,3557.0,5092,12,0.24
Eritrea,341,0,295,46,0,0.0,86.51,0.0,3546427,96.0,491,27,5.5
Estonia,2585,64,2213,308,21,2.48,85.61,2.89,1326539,1949.0,6250,1598,25.57
Eswatini,4936,97,4077,762,32,1.97,82.6,2.38,1160164,4255.0,6013,92,1.53
Ethiopia,61700,966,23054,37680,916,1.57,37.36,4.19,114963583,537.0,99982,3074,3.07
Fiji,32,2,24,6,1,6.25,75.0,8.33,896444,36.0,34,1,2.94
Finland,8430,337,7500,593,93,4.0,88.97,4.49,5540718,1521.0,17887,1532,8.56
