Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
1/22/20,555,17,28,510,0,3.06,5.05,60.71,6
1/23/20,654,18,30,606,99,2.75,4.59,60.0,8
1/24/20,941,26,36,879,287,2.76,3.83,72.22,9
1/25/20,1434,42,39,1353,493,2.93,2.72,107.69,11
1/26/20,2118,56,52,2010,684,2.64,2.46,107.69,13
1/27/20,2927,82,61,2784,809,2.8,2.08,134.43,16
1/28/20,5578,131,107,5340,2651,2.35,1.92,122.43,16
1/29/20,6167,133,126,5908,589,2.16,2.04,105.56,18
1/30/20,8235,171,143,7921,2068,2.08,1.74,119.58,20
1/31/20,9927,213,222,9492,1692,2.15,2.24,95.95,23
10/1/20,34310435,1023643,23904106,9382686,34300508,2.98,69.67,4.28,188
10/10/20,37228561,1073548,25901141,10253872,2918126,2.88,69.57,4.14,188
10/11/20,37499677,1077477,26123765,10298435,271116,2.87,69.66,4.12,188
10/12/20,37824426,1081408,26323837,10419181,324749,2.86,69.59,4.11,189
10/13/20,38152994,1086848,26516274,10549872,328568,2.85,69.5,4.1,189
10/14/20,38534152,1092884,26728522,10712746,381158,2.84,69.36,4.09,189
10/15/20,38941473,1098990,26935795,10906688,407321,2.82,69.17,4.08,189
10/16/20,39352256,1105134,27138786,11108336,410783,2.81,68.96,4.07,189
10/17/20,39693055,1110634,27337104,11245317,340799,2.8,68.87,4.06,189
10/18/20,39979790,1114037,27538513,11327240,286735,2.79,68.88,4.05,189
10/19/20,40427950,1119015,27740921,11568014,448160,2.77,68.62,4.03,189
10/2/20,34607731,1028649,24076409,9502673,0,2.97,69.57,4.27,188
10/20/20,40816527,1125585,27952402,11738540,6208796,2.76,68.48,4.03,189
10/21/20,41260778,1132220,28163863,11964695,444251,2.74,68.26,4.02,189
10/22/20,41733363,1138101,28390649,12204613,472585,2.73,68.03,4.01,189
10/23/20,42229029,1145050,28597477,12486502,495666,2.71,67.72,4.0,189
10/24/20,42640657,1150728,28809043,12680886,411628,2.7,67.56,3.99,189
10/25/20,42994239,1154878,29006245,12833116,353582,2.69,67.47,3.98,189
10/26/20,43531814,1160481,29245337,13125996,537575,2.67,67.18,3.97,189
10/27/20,44001148,1167858,29835059,12998231,469334,2.65,67.81,3.91,189
10/28/20,44510560,1174975,30101033,13234552,509412,2.64,67.63,3.9,190
10/29/20,45061443,1182033,30347690,13531720,550883,2.62,67.35,3.89,190
10/3/20,34923543,1033984,24332021,9557538,0,2.96,69.67,4.25,188
10/30/20,45631619,1189593,30603441,13838585,10708076,2.61,67.07,3.89,190
10/31/20,46107724,1196135,30847864,14063725,476105,2.59,66.9,3.88,190
10/4/20,35172818,1037759,24554152,9580907,0,2.95,69.81,4.23,188
10/5/20,35502350,1044758,24791587,9666005,329532,2.94,69.83,4.21,188
10/6/20,35827703,1050523,25024220,9752960,325353,2.93,69.85,4.2,188
10/7/20,36177210,1056367,25279413,9841430,349507,2.92,69.88,4.18,188
10/8/20,36538969,1062623,25498915,9977431,361759,2.91,69.79,4.17,188
